GVKEY,LIID,datadate,fyear,conm,adrr,fic
015367,01,19900531,1989,INVESCO MUNICIPAL INCOME OPP,,USA
015367,01,19910531,1990,INVESCO MUNICIPAL INCOME OPP,,USA
015368,01,19900531,1989,INVESCO MUNICIPAL PREM INCM,,USA
015368,01,19910531,1990,INVESCO MUNICIPAL PREM INCM,,USA
015369,01,19901031,1990,AMERICAN GVT INCOME PORTFOL,,USA
015369,01,19911031,1991,AMERICAN GVT INCOME PORTFOL,,USA
015370,01,19901130,1990,AMERICAN GVT TERM TR,,USA
015370,01,19911130,1991,AMERICAN GVT TERM TR,,USA
015371,01,19901231,1990,BLACKROCK TARGET TERM TRUST,,USA
015371,01,19911231,1991,BLACKROCK TARGET TERM TRUST,,USA
015372,01,19901231,1990,MFS HIGH INCOME MUNI TRUST,,USA
015372,01,19911231,1991,MFS HIGH INCOME MUNI TRUST,,USA
015373,01,19901031,1990,MFS INTERMEDIATE HIGH INCOME,,USA
015373,01,19911031,1991,MFS INTERMEDIATE HIGH INCOME,,USA
015374,01,19901231,1990,MFS INVESTMENT GRADE MUNI TR,,USA
015374,01,19911231,1991,MFS INVESTMENT GRADE MUNI TR,,USA
015376,01,19901130,1990,FRANKLIN PRINCIPAL MATURITY,,USA
015376,01,19911130,1991,FRANKLIN PRINCIPAL MATURITY,,USA
015377,01,19900831,1990,FRANKLIN UNIVERSAL TRUST,,USA
015377,01,19910831,1991,FRANKLIN UNIVERSAL TRUST,,USA
015378,01,19900131,1989,MORGAN STNLY HGH INC ADV III,,USA
015378,01,19910131,1990,MORGAN STNLY HGH INC ADV III,,USA
015379,01,19900630,1990,INDIA GROWTH FUND INC,,USA
015379,01,19910630,1991,INDIA GROWTH FUND INC,,USA
015380,01,19901130,1990,DEUTSCHE MULTI-MARKET INCOME,,USA
015380,01,19911130,1991,DEUTSCHE MULTI-MARKET INCOME,,USA
015381,01,19901130,1990,DWS STRATEGIC MUN INCM TRUST,,USA
015381,01,19911130,1991,DWS STRATEGIC MUN INCM TRUST,,USA
015383,01,19901231,1990,MC SHIPPING,,LBR
015383,01,19911231,1991,MC SHIPPING,,LBR
015384,01,19901231,1990,BARINGS PARTICIPATON INVSTRS,,USA
015384,01,19911231,1991,BARINGS PARTICIPATON INVSTRS,,USA
015385,01,19901031,1990,WESTERN ASST MUNI HI INCM FD,,USA
015385,01,19911031,1991,WESTERN ASST MUNI HI INCM FD,,USA
015386,01,19900131,1989,BLACKROCK MUNIENHANCED FUND,,USA
015386,01,19910131,1990,BLACKROCK MUNIENHANCED FUND,,USA
015387,01,19901031,1990,OPPENHEIMER WORLD BOND FD,,USA
015387,01,19911031,1991,OPPENHEIMER WORLD BOND FD,,USA
015388,01,19900930,1990,HANCOCK J PATRIOT PREM DIV,,USA
015388,01,19910930,1991,HANCOCK J PATRIOT PREM DIV,,USA
015389,01,19901031,1990,PROSPECT STREET HI INCOME,,USA
015389,01,19911031,1991,PROSPECT STREET HI INCOME,,USA
015390,01,19900331,1989,PUTNAM HI YIELD MUNI,,USA
015390,01,19910331,1990,PUTNAM HI YIELD MUNI,,USA
015391,01,19901031,1990,PUTNAM MANAGED MUNI INCOME,,USA
015391,01,19911031,1991,PUTNAM MANAGED MUNI INCOME,,USA
015392,01,19901031,1990,NUVEEN MULTI-MKT INCM FD,,USA
015392,01,19911031,1991,NUVEEN MULTI-MKT INCM FD,,USA
015393,01,19901231,1990,SHELTON GREATER CHINA FUND,,USA
015393,01,19911231,1991,SHELTON GREATER CHINA FUND,,USA
015394,01,19900831,1990,TEMPLETON VALUE FUND,,USA
015395,01,19900831,1990,TEMPLETON GLOBAL GVTS,,USA
015395,01,19910831,1991,TEMPLETON GLOBAL GVTS,,USA
015397,01,19901231,1990,VAN KAMPEN HIGH INCOME TR,,USA
015397,01,19911231,1991,VAN KAMPEN HIGH INCOME TR,,USA
015398,01,19901231,1990,INVESCO HIGH INCOME TRUST II,,USA
015398,01,19911231,1991,INVESCO HIGH INCOME TRUST II,,USA
015400,01,19901231,1990,NEUROMEDICAL TECHNLOGIES INC,,USA
015400,01,19911231,1991,NEUROMEDICAL TECHNLOGIES INC,,USA
015402,01,19901231,1990,ATS MONEY SYSTEMS INC,,USA
015402,01,19911231,1991,ATS MONEY SYSTEMS INC,,USA
015404,01,19900630,1990,ESIO WATER AND BEVERAGE-OLD,,USA
015405,01,19901231,1990,RYAN BECK & CO INC,,USA
015405,01,19911231,1991,RYAN BECK & CO INC,,USA
015410,01,19900930,1990,XSTREAM MOBILE SOLUTIONS CP,,USA
015410,01,19910930,1991,XSTREAM MOBILE SOLUTIONS CP,,USA
015411,01,19900930,1990,EVISION INTERNATIONAL INC,,USA
015411,01,19910930,1991,EVISION INTERNATIONAL INC,,USA
015412,01,19900930,1990,TREND VISION TECHNOLOGIES,,CAN
015412,01,19910930,1991,TREND VISION TECHNOLOGIES,,CAN
015413,01,19901231,1990,RAWSON KOENIG INC,,USA
015413,01,19911231,1991,RAWSON KOENIG INC,,USA
015414,01,19900630,1990,BIO-TECHNE CORP,,USA
015414,01,19910630,1991,BIO-TECHNE CORP,,USA
015416,01,19900131,1989,INTL ABSORBENTS INC,,CAN
015416,01,19910131,1990,INTL ABSORBENTS INC,,CAN
015417,01,19901231,1990,BROWN & BROWN INC,,USA
015417,01,19911231,1991,BROWN & BROWN INC,,USA
015418,01,19900630,1990,TENET INFORMATION SVCS INC,,USA
015418,01,19910630,1991,TENET INFORMATION SVCS INC,,USA
015424,01,19900131,1989,EAGLE FOOD CENTERS INC,,USA
015424,01,19910131,1990,EAGLE FOOD CENTERS INC,,USA
015426,01,19900630,1990,MORTON INTERNATIONAL INC,,USA
015426,01,19910630,1991,MORTON INTERNATIONAL INC,,USA
015427,01,19901231,1990,BIO ELECTRO SYSTEMS  -CL A,,USA
015428,01,19901231,1990,DYNA GROUP INTERNATIONAL INC,,USA
015428,01,19911231,1991,DYNA GROUP INTERNATIONAL INC,,USA
015429,01,19901231,1990,INTL BROADCAST SYSTEMS -CL A,,USA
015435,01,19900831,1990,RANDOM ACCESS INC,,USA
015435,01,19910831,1991,RANDOM ACCESS INC,,USA
015439,01,19901231,1990,CHEMDESIGN CORP,,USA
015439,01,19911231,1991,CHEMDESIGN CORP,,USA
015440,01,19900630,1990,ENCLEAN INC,,USA
015440,01,19910630,1991,ENCLEAN INC,,USA
015442,01,19901231,1990,POWERBRIEF INC,,USA
015442,01,19911231,1991,POWERBRIEF INC,,USA
015443,01,19901231,1990,SEVENSON ENVIRON SVCS,,USA
015443,01,19911231,1991,SEVENSON ENVIRON SVCS,,USA
015446,01,19900731,1990,EMISPHERE TECHNOLOGIES INC,,USA
015446,01,19910731,1991,EMISPHERE TECHNOLOGIES INC,,USA
015449,01,19901231,1990,EQUITY AU INC,,USA
015449,01,19911231,1991,EQUITY AU INC,,USA
015450,01,19900930,1990,GROWTH DEVELOPMENT CORP,,USA
015454,01,19901231,1990,CONDOR SERVICES INC,,USA
015454,01,19911231,1991,CONDOR SERVICES INC,,USA
015455,01,19911231,1991,BW/IP INC  -CL A,,USA
015458,01,19900131,1989,DUTY FREE INTERNATIONAL INC,,USA
015458,01,19910131,1990,DUTY FREE INTERNATIONAL INC,,USA
015459,01,19901231,1990,TREDEGAR CORP,,USA
015459,01,19911231,1991,TREDEGAR CORP,,USA
015461,01,19901231,1990,AIM STRATEGIC INCOME FUND,,USA
015461,01,19911231,1991,AIM STRATEGIC INCOME FUND,,USA
015462,01,19900228,1989,INVESCO MUNI INCOME OPP II,,USA
015462,01,19910228,1990,INVESCO MUNI INCOME OPP II,,USA
015463,01,19900731,1990,MORGAN STANLY HGH INC ADV II,,USA
015463,01,19910731,1991,MORGAN STANLY HGH INC ADV II,,USA
015464,01,19900531,1989,NUVEEN PERFORM PLUS MUNI,,USA
015464,01,19910531,1990,NUVEEN PERFORM PLUS MUNI,,USA
015465,01,19901231,1990,HEALTHCARE TECHNOLOGIES LTD,,ISR
015465,01,19911231,1991,HEALTHCARE TECHNOLOGIES LTD,,ISR
015466,01,19901231,1990,HELIONETICS,,USA
015466,01,19911231,1991,HELIONETICS,,USA
015469,01,19900630,1990,DIGITAL COMMUNICATIONS TECH,,USA
015469,01,19910630,1991,DIGITAL COMMUNICATIONS TECH,,USA
015470,01,19901231,1990,SUNRISE TECHNOLOGY INTL INC,,USA
015470,01,19911231,1991,SUNRISE TECHNOLOGY INTL INC,,USA
015471,01,19900131,1989,UNITOG CO,,USA
015471,01,19910131,1990,UNITOG CO,,USA
015472,01,19901231,1990,PEOPLES TELEPHONE CO INC,,USA
015472,01,19911231,1991,PEOPLES TELEPHONE CO INC,,USA
015475,01,19901231,1990,POWER SPECTRA INC,,USA
015475,01,19911231,1991,POWER SPECTRA INC,,USA
015476,01,19900331,1989,WESTAMERICA CORP,,USA
015476,01,19910331,1990,WESTAMERICA CORP,,USA
015487,01,19901231,1990,POOL ENERGY SERVICES CO,,USA
015487,01,19911231,1991,POOL ENERGY SERVICES CO,,USA
015490,01,19901130,1990,USA BIOMASS CORP,,USA
015490,01,19911130,1991,USA BIOMASS CORP,,USA
015494,01,19901031,1990,CONSILIUM INC,,USA
015494,01,19911031,1991,CONSILIUM INC,,USA
015495,01,19901231,1990,TEKNOWLEDGE CORP,,USA
015495,01,19911231,1991,TEKNOWLEDGE CORP,,USA
015503,01,19901231,1990,OFFICIAL INFORMATION CO,,USA
015503,01,19911231,1991,OFFICIAL INFORMATION CO,,USA
