GVKEY,LIID,datadate,fyear,conm,adrr,fic
001004,01,19900531,1989,AAR CORP,,USA
001004,01,19910531,1990,AAR CORP,,USA
001009,01,19901031,1990,ABS INDUSTRIES INC,,USA
001009,01,19911031,1991,ABS INDUSTRIES INC,,USA
001011,01,19901231,1990,ACS ENTERPRISES INC,,USA
001011,01,19911231,1991,ACS ENTERPRISES INC,,USA
001013,01,19901031,1990,ADC TELECOMMUNICATIONS INC,,USA
001013,01,19911031,1991,ADC TELECOMMUNICATIONS INC,,USA
001017,01,19900228,1989,AEL INDUSTRIES  -CL A,,USA
001017,01,19910228,1990,AEL INDUSTRIES  -CL A,,USA
001021,01,19900630,1990,AFP IMAGING CORP,,USA
001021,01,19910630,1991,AFP IMAGING CORP,,USA
001028,01,19900228,1989,AIM TELEPHONES INC,,USA
001028,01,19910228,1990,AIM TELEPHONES INC,,USA
001034,01,19901231,1990,ALPHARMA INC  -CL A,,USA
001034,01,19911231,1991,ALPHARMA INC  -CL A,,USA
001036,01,19901231,1990,UNITED DOMINION INDUSTRIES,,CAN
001036,01,19911231,1991,UNITED DOMINION INDUSTRIES,,CAN
001038,01,19900331,1989,AMC ENTERTAINMENT INC -OLD,,USA
001038,01,19910331,1990,AMC ENTERTAINMENT INC -OLD,,USA
001043,01,19900731,1990,MULTIGRAPHICS INC,,USA
001043,01,19910731,1991,MULTIGRAPHICS INC,,USA
001045,01,19901231,1990,AMERICAN AIRLINES GROUP INC,,USA
001045,01,19911231,1991,AMERICAN AIRLINES GROUP INC,,USA
001050,01,19900531,1989,CECO ENVIRONMENTAL CORP,,USA
001050,01,19910531,1990,CECO ENVIRONMENTAL CORP,,USA
001054,01,19900630,1990,ASK GROUP INC,,USA
001054,01,19910630,1991,ASK GROUP INC,,USA
001055,01,19900630,1990,AST RESEARCH INC,,USA
001055,01,19910630,1991,AST RESEARCH INC,,USA
001056,01,19900630,1990,AEROFLEX INC,,USA
001056,01,19910630,1991,AEROFLEX INC,,USA
001062,01,19901130,1990,ASA GOLD AND PRECIOUS METALS,,BMU
001062,01,19911130,1991,ASA GOLD AND PRECIOUS METALS,,BMU
001065,01,19901231,1990,AT&E CORP,,USA
001073,01,19901231,1990,AW COMPUTER SYSTEMS  -CL A,,USA
001073,01,19911231,1991,AW COMPUTER SYSTEMS  -CL A,,USA
001075,01,19901231,1990,PINNACLE WEST CAPITAL CORP,,USA
001075,01,19911231,1991,PINNACLE WEST CAPITAL CORP,,USA
001076,01,19900331,1989,AARON'S INC,,USA
001076,01,19910331,1990,AARON'S INC,,USA
001078,01,19901231,1990,ABBOTT LABORATORIES,,USA
001078,01,19911231,1991,ABBOTT LABORATORIES,,USA
001082,01,19900430,1989,SERVIDYNE INC,,USA
001082,01,19910430,1990,SERVIDYNE INC,,USA
001086,01,19911231,1991,AMETECH INC,,USA
001094,01,19900630,1990,ACETO CORP,,USA
001094,01,19910630,1991,ACETO CORP,,USA
001095,01,19901231,1990,ACKERLEY GROUP INC,,USA
001095,01,19911231,1991,ACKERLEY GROUP INC,,USA
001097,01,19901231,1990,ACMAT CORP  -CL A,,USA
001097,01,19911231,1991,ACMAT CORP  -CL A,,USA
001098,01,19900930,1990,ACME-CLEVELAND CORP,,USA
001098,01,19910930,1991,ACME-CLEVELAND CORP,,USA
001099,01,19900630,1990,ACME ELECTRIC CORP,,USA
001099,01,19910630,1991,ACME ELECTRIC CORP,,USA
001104,01,19901231,1990,ACME UNITED CORP,,USA
001104,01,19911231,1991,ACME UNITED CORP,,USA
001108,01,19900630,1990,PRINCETON HOLDINGS INC,,USA
001108,01,19910630,1991,PRINCETON HOLDINGS INC,,USA
001109,01,19901231,1990,COREWAFER INDUSTRIES INC,,USA
001109,01,19911231,1991,COREWAFER INDUSTRIES INC,,USA
001115,01,19900930,1990,ADAC LABORATORIES,,USA
001115,01,19910930,1991,ADAC LABORATORIES,,USA
001119,01,19901231,1990,ADAMS DIVERSIFIED EQUITY FD,,USA
001119,01,19911231,1991,ADAMS DIVERSIFIED EQUITY FD,,USA
001121,01,19901231,1990,ADAMS RESOURCES & ENERGY INC,,USA
001121,01,19911231,1991,ADAMS RESOURCES & ENERGY INC,,USA
001128,01,19901231,1990,ADIA SERVICES INC,,USA
001128,01,19911231,1991,ADIA SERVICES INC,,USA
001137,01,19900831,1990,ADVANCE CIRCUITS INC,,USA
001137,01,19910831,1991,ADVANCE CIRCUITS INC,,USA
001138,01,19901231,1990,ADVANCE ROSS CORP,,USA
001138,01,19911231,1991,ADVANCE ROSS CORP,,USA
001141,01,19901231,1990,ADVANCED COMPUTER TECHNIQUES,,USA
001148,01,19900930,1990,ADVEST GROUP INC,,USA
001148,01,19910930,1991,ADVEST GROUP INC,,USA
001151,01,19900430,1989,AEQUITRON MEDICAL INC,,USA
001151,01,19910430,1990,AEQUITRON MEDICAL INC,,USA
001154,01,19901231,1990,AERO SYSTEMS ENGINEERING INC,,USA
001154,01,19911231,1991,AERO SYSTEMS ENGINEERING INC,,USA
001155,01,19900228,1989,AERO SYSTEMS INC,,USA
001155,01,19910228,1990,AERO SYSTEMS INC,,USA
001161,01,19901231,1990,ADVANCED MICRO DEVICES,,USA
001161,01,19911231,1991,ADVANCED MICRO DEVICES,,USA
001164,01,19901231,1990,MCI INC,,USA
001164,01,19911231,1991,MCI INC,,USA
001171,01,19900331,1989,ADVANCED TELECOMMUNICATIONS,,USA
001171,01,19910331,1990,ADVANCED TELECOMMUNICATIONS,,USA
001173,01,19900131,1989,AEROSONIC CORP,,USA
001173,01,19910131,1990,AEROSONIC CORP,,USA
001177,01,19901231,1990,AETNA INC,,USA
001177,01,19911231,1991,AETNA INC,,USA
001178,01,19901231,1990,AFFILIATED BANKSHARES COLO,,USA
001178,01,19911231,1991,AFFILIATED BANKSHARES COLO,,USA
001181,01,19901231,1990,AFFILIATED PUBNS,,USA
001181,01,19911231,1991,AFFILIATED PUBNS,,USA
001183,01,19900131,1989,IDNA INC,,USA
001183,01,19910131,1990,IDNA INC,,USA
001194,01,19901231,1990,AHMANSON (H F) & CO,,USA
001194,01,19911231,1991,AHMANSON (H F) & CO,,USA
001197,01,19901031,1990,AILEEN INC,,USA
001197,01,19911031,1991,AILEEN INC,,USA
001203,01,19901231,1990,AIR EXPRESS INTERNATIONAL CP,,USA
001203,01,19911231,1991,AIR EXPRESS INTERNATIONAL CP,,USA
001208,01,19901231,1990,AIR MIDWEST INC,,USA
001209,01,19900930,1990,AIR PRODUCTS & CHEMICALS INC,,USA
001209,01,19910930,1991,AIR PRODUCTS & CHEMICALS INC,,USA
001210,01,19900331,1989,AIR T INC,,USA
001210,01,19910331,1990,AIR T INC,,USA
001212,01,19901231,1990,AIR WISCONSIN SERVICES INC,,USA
001213,01,19901231,1990,AIRBORNE INC,,USA
001213,01,19911231,1991,AIRBORNE INC,,USA
001230,01,19901231,1990,ALASKA AIR GROUP INC,,USA
001230,01,19911231,1991,ALASKA AIR GROUP INC,,USA
001234,01,19901231,1990,ATRION CORP,,USA
001234,01,19911231,1991,ATRION CORP,,USA
001235,01,19901231,1990,ALBA-WALDENSIAN INC,,USA
001235,01,19911231,1991,ALBA-WALDENSIAN INC,,USA
001239,01,19900930,1990,ALBERTO-CULVER CO,,USA
001239,01,19910930,1991,ALBERTO-CULVER CO,,USA
001240,01,19900131,1989,ALBERTSON'S INC,,USA
001240,01,19910131,1990,ALBERTSON'S INC,,USA
001243,01,19901231,1990,ALCAN INC,,CAN
001243,01,19911231,1991,ALCAN INC,,CAN
001244,01,19900531,1989,ALCIDE CORP,,USA
001244,01,19910531,1990,ALCIDE CORP,,USA
001246,01,19900930,1990,IKON OFFICE SOLUTIONS,,USA
001246,01,19910930,1991,IKON OFFICE SOLUTIONS,,USA
001250,01,19900331,1989,ALDEN ELECTRONICS INC,,USA
001250,01,19910331,1990,ALDEN ELECTRONICS INC,,USA
001253,01,19901231,1990,ALEXANDER & ALEXANDER,,USA
001253,01,19911231,1991,ALEXANDER & ALEXANDER,,USA
001254,01,19901231,1990,MATSON INC,,USA
001254,01,19911231,1991,MATSON INC,,USA
001257,01,19900731,1990,ALEXANDER'S INC,,USA
001257,01,19910731,1991,ALEXANDER'S INC,,USA
001260,01,19900731,1990,ADRIEN ARPEL INC,,USA
001260,01,19910731,1991,ADRIEN ARPEL INC,,USA
001264,01,19900630,1990,ALGOREX CORP,,USA
001264,01,19910630,1991,ALGOREX CORP,,USA
001266,01,19900831,1990,ALICO INC,,USA
001266,01,19910831,1991,ALICO INC,,USA
001274,01,19901231,1990,ALLEGHANY CORP,,USA
001274,01,19911231,1991,ALLEGHANY CORP,,USA
001279,01,19901231,1990,ALLEGHENY ENERGY INC,,USA
001279,01,19911231,1991,ALLEGHENY ENERGY INC,,USA
001281,01,19901231,1990,ALLEN TELECOM INC,,USA
001281,01,19911231,1991,ALLEN TELECOM INC,,USA
001283,01,19901231,1990,ALLEN ORGAN CO  -CL B,,USA
001283,01,19911231,1991,ALLEN ORGAN CO  -CL B,,USA
001286,01,19901231,1990,ALLIANCE NORTHWEST INDS INC,,USA
001286,01,19911231,1991,ALLIANCE NORTHWEST INDS INC,,USA
001297,01,19901231,1990,ALLIED PRODUCTS,,USA
001297,01,19911231,1991,ALLIED PRODUCTS,,USA
001300,01,19901231,1990,HONEYWELL INTERNATIONAL INC,,USA
001300,01,19911231,1991,HONEYWELL INTERNATIONAL INC,,USA
001318,01,19901231,1990,ALLTEL CORP,,USA
001318,01,19911231,1991,ALLTEL CORP,,USA
001324,01,19900331,1989,SCHERER HEALTHCARE INC,,USA
001324,01,19910331,1990,SCHERER HEALTHCARE INC,,USA
001327,01,19900331,1989,SKYWORKS SOLUTIONS INC,,USA
001327,01,19910331,1990,SKYWORKS SOLUTIONS INC,,USA
001328,01,19900531,1989,ALPHA SOLARCO INC,,USA
001328,01,19910531,1990,ALPHA SOLARCO INC,,USA
001331,01,19900430,1989,ALPINE GROUP INC,,USA
001331,01,19910430,1990,ALPINE GROUP INC,,USA
001334,01,19900228,1989,NQL INC,,USA
001334,01,19910228,1990,NQL INC,,USA
001351,01,19901231,1990,ALTRON INC,,USA
001351,01,19911231,1991,ALTRON INC,,USA
001356,01,19901231,1990,ALCOA INC,,USA
001356,01,19911231,1991,ALCOA INC,,USA
001359,01,19901231,1990,ALZA CORP,,USA
001359,01,19911231,1991,ALZA CORP,,USA
001360,01,19900430,1989,SENTO CORP,,USA
001360,01,19910430,1990,SENTO CORP,,USA
001365,01,19901231,1990,AMAX INC,,USA
001365,01,19911231,1991,AMAX INC,,USA
001370,01,19900630,1990,AMBULATORY MEDICAL CARE INC,,USA
001370,01,19910630,1991,AMBULATORY MEDICAL CARE INC,,USA
001372,01,19900831,1990,AMCAST INDUSTRIAL CORP,,USA
001372,01,19910831,1991,AMCAST INDUSTRIAL CORP,,USA
001380,01,19901231,1990,HESS CORP,,USA
001380,01,19911231,1991,HESS CORP,,USA
001382,01,19901231,1990,US AIRWAYS GROUP INC,,USA
001382,01,19911231,1991,US AIRWAYS GROUP INC,,USA
001392,01,19901231,1990,AMDAHL CORP,,USA
001392,01,19911231,1991,AMDAHL CORP,,USA
001397,01,19901231,1990,AMERICAN BILTRITE INC,,USA
001397,01,19911231,1991,AMERICAN BILTRITE INC,,USA
001408,01,19901231,1990,BEAM INC,,USA
001408,01,19911231,1991,BEAM INC,,USA
001410,01,19901031,1990,ABM INDUSTRIES INC,,USA
001410,01,19911031,1991,ABM INDUSTRIES INC,,USA
001411,01,19901231,1990,AMERICAN BUSINESS PRODS/GA,,USA
001411,01,19911231,1991,AMERICAN BUSINESS PRODS/GA,,USA
001416,01,19901231,1990,AMERICAN CAPITAL CORP,,USA
001417,01,19900630,1990,INVESCO BOND FUND,,USA
001417,01,19910630,1991,INVESCO BOND FUND,,USA
001418,01,19911231,1991,TRANSFINANCIAL HOLDINGS INC,,USA
001430,01,19901231,1990,AMERICAN CYANAMID CO,,USA
001430,01,19911231,1991,AMERICAN CYANAMID CO,,USA
001431,01,19900131,1989,AMERICAN CYTOGENETICS,,USA
001431,01,19910131,1990,AMERICAN CYTOGENETICS,,USA
001439,01,19901231,1990,US ECOLOGY INC,,USA
001439,01,19911231,1991,US ECOLOGY INC,,USA
001440,01,19901231,1990,AMERICAN ELECTRIC POWER CO,,USA
001440,01,19911231,1991,AMERICAN ELECTRIC POWER CO,,USA
001441,01,19900731,1990,MANSFELDER METALS LTD,,USA
001441,01,19910731,1991,MANSFELDER METALS LTD,,USA
001444,01,19900731,1990,AMERICAN VANTAGE COMPANIES,,USA
001444,01,19910731,1991,AMERICAN VANTAGE COMPANIES,,USA
001446,01,19901231,1990,AMERICAN EXPLORATION CO,,USA
001446,01,19911231,1991,AMERICAN EXPLORATION CO,,USA
001447,01,19901231,1990,AMERICAN EXPRESS CO,,USA
001447,01,19911231,1991,AMERICAN EXPRESS CO,,USA
001449,01,19901231,1990,AFLAC INC,,USA
001449,01,19911231,1991,AFLAC INC,,USA
001456,01,19901231,1990,AMERICAN FILTRONA CORP,,USA
001456,01,19911231,1991,AMERICAN FILTRONA CORP,,USA
001462,01,19901231,1990,AMERICAN FRUCTOSE  -CL A,,USA
001462,01,19911231,1991,AMERICAN FRUCTOSE  -CL A,,USA
001465,01,19901231,1990,AMERICAN GENERAL CORP,,USA
001465,01,19911231,1991,AMERICAN GENERAL CORP,,USA
001468,01,19900228,1989,AMERICAN GREETINGS  -CL A,,USA
001468,01,19910228,1990,AMERICAN GREETINGS  -CL A,,USA
001470,01,19901231,1990,ENCORE GROUP INC,,USA
001474,01,19901231,1990,AMERICAN HERITAGE LIFE INVS,,USA
001474,01,19911231,1991,AMERICAN HERITAGE LIFE INVS,,USA
001478,01,19901231,1990,WYETH,,USA
001478,01,19911231,1991,WYETH,,USA
001485,01,19901231,1990,AMERITECH CORP,,USA
001485,01,19911231,1991,AMERITECH CORP,,USA
001487,01,19901231,1990,AMERICAN INTERNATIONAL GROUP,,USA
001487,01,19911231,1991,AMERICAN INTERNATIONAL GROUP,,USA
001491,01,19901231,1990,HADERA PAPER LTD,,ISR
001491,01,19911231,1991,HADERA PAPER LTD,,ISR
001494,01,19900430,1989,CRUISE AMERICA INC,,USA
001494,01,19910430,1990,CRUISE AMERICA INC,,USA
001495,01,19900228,1989,AMERICAN LIST CORP,,USA
001495,01,19910228,1990,AMERICAN LIST CORP,,USA
001496,01,19901231,1990,AMERICAN LOCKER GROUP INC,,USA
001496,01,19911231,1991,AMERICAN LOCKER GROUP INC,,USA
001497,01,19900930,1990,DAMON GROUP INC,,USA
001498,01,19901231,1990,AMERICAN MAIZE-PRODS  -CL A,,USA
001498,01,19911231,1991,AMERICAN MAIZE-PRODS  -CL A,,USA
001500,01,19901231,1990,AMERICAN MANAGEMENT SYSTEMS,,USA
001500,01,19911231,1991,AMERICAN MANAGEMENT SYSTEMS,,USA
001511,01,19900831,1990,GOLF ROUNDS.COM INC,,USA
001511,01,19910831,1991,GOLF ROUNDS.COM INC,,USA
001518,01,19900930,1990,GALLERY OF HISTORY INC,,USA
001518,01,19910930,1991,GALLERY OF HISTORY INC,,USA
001523,01,19901231,1990,AMERICAN MEDICAL ALERT CORP,,USA
001523,01,19911231,1991,AMERICAN MEDICAL ALERT CORP,,USA
001526,01,19901231,1990,AMERICAN NATIONAL GROUP INC,,USA
001526,01,19911231,1991,AMERICAN NATIONAL GROUP INC,,USA
001527,01,19901231,1990,AMERICAN NATIONAL PETROLEUM,,USA
001527,01,19911231,1991,AMERICAN NATIONAL PETROLEUM,,USA
001530,01,19900531,1989,AMERICAN NUCLEAR CORP,,USA
001530,01,19910531,1990,AMERICAN NUCLEAR CORP,,USA
001530,01,19911231,1991,AMERICAN NUCLEAR CORP,,USA
001532,01,19901231,1990,AMERICAN OIL & GAS,,USA
001532,01,19911231,1991,AMERICAN OIL & GAS,,USA
001533,01,19900930,1990,AMERICAN PACIFIC CORP,,USA
001533,01,19910930,1991,AMERICAN PACIFIC CORP,,USA
001537,01,19901231,1990,FINA INC  -CL A,,USA
001537,01,19911231,1991,FINA INC  -CL A,,USA
001539,01,19901231,1990,AMERICAN PHYSICIANS SVC GP,,USA
001539,01,19911231,1991,AMERICAN PHYSICIANS SVC GP,,USA
001542,01,19901231,1990,AMERICAN PRECISION INDS,,USA
001542,01,19911231,1991,AMERICAN PRECISION INDS,,USA
001543,01,19901231,1990,APL LTD,,USA
001543,01,19911231,1991,APL LTD,,USA
001544,01,19901231,1990,AMERAC ENERGY CORP,,USA
001544,01,19911231,1991,AMERAC ENERGY CORP,,USA
001546,01,19900531,1989,AMERICAN RECREATION CENTERS,,USA
001546,01,19910531,1990,AMERICAN RECREATION CENTERS,,USA
001553,01,19911231,1991,AMERICAN SVGS/FL FSB,,USA
001554,01,19900331,1989,AMERICAN SCIENCE ENGINEERING,,USA
001554,01,19910331,1990,AMERICAN SCIENCE ENGINEERING,,USA
001559,01,19901231,1990,AMERICAN SHARED HSPTL SERV,,USA
001559,01,19911231,1991,AMERICAN SHARED HSPTL SERV,,USA
001560,01,19900930,1990,AMERICAN SHIP BUILDING CO,,USA
001560,01,19910930,1991,AMERICAN SHIP BUILDING CO,,USA
001562,01,19900430,1989,AMERICAN SOFTWARE  -CL A,,USA
001562,01,19910430,1990,AMERICAN SOFTWARE  -CL A,,USA
001573,01,19900131,1989,AMERICAN STORES CO,,USA
001573,01,19910131,1990,AMERICAN STORES CO,,USA
001577,01,19900630,1990,AMERICAN TECHNICAL CERAMICS,,USA
001577,01,19910630,1991,AMERICAN TECHNICAL CERAMICS,,USA
001581,01,19901231,1990,AT&T CORP,,USA
001581,01,19911231,1991,AT&T CORP,,USA
001585,01,19901231,1990,AMERICAN VANGUARD CORP,,USA
001585,01,19911231,1991,AMERICAN VANGUARD CORP,,USA
001587,01,19901231,1990,AMERICAN WATER WORKS INC,,USA
001587,01,19911231,1991,AMERICAN WATER WORKS INC,,USA
001590,01,19901231,1990,AMERICANA HOTELS & REALTY CP,,USA
001590,01,19911231,1991,AMERICANA HOTELS & REALTY CP,,USA
001593,01,19901130,1990,AMERON INTERNATIONAL CORP,,USA
001593,01,19911130,1991,AMERON INTERNATIONAL CORP,,USA
001594,01,19900131,1989,AMES DEPT STORES INC,,USA
001594,01,19910131,1990,AMES DEPT STORES INC,,USA
001595,01,19901231,1990,AMERITRUST CORP-OLD,,USA
001597,01,19901231,1990,AMERIHEALTH INC/DE,,USA
001597,01,19911231,1991,AMERIHEALTH INC/DE,,USA
001598,01,19901231,1990,AMETEK INC,,USA
001598,01,19911231,1991,AMETEK INC,,USA
001602,01,19900331,1989,AMGEN INC,,USA
001602,01,19910331,1990,AMGEN INC,,USA
001602,01,19911231,1991,AMGEN INC,,USA
001606,01,19901231,1990,AMISTAR CORP,,USA
001606,01,19911231,1991,AMISTAR CORP,,USA
001608,01,19901231,1990,AMP INC,,USA
001608,01,19911231,1991,AMP INC,,USA
001609,01,19901231,1990,AMOCO CORP,,USA
001609,01,19911231,1991,AMOCO CORP,,USA
001611,01,19901231,1990,AMPAL-AMERICAN ISRAEL CORP,,USA
001611,01,19911231,1991,AMPAL-AMERICAN ISRAEL CORP,,USA
001613,01,19901231,1990,AMPCO-PITTSBURGH CORP,,USA
001613,01,19911231,1991,AMPCO-PITTSBURGH CORP,,USA
001618,01,19900430,1989,AMREP CORP,,USA
001618,01,19910430,1990,AMREP CORP,,USA
001619,01,19901231,1990,AMSOUTH BANCORPORATION,,USA
001619,01,19911231,1991,AMSOUTH BANCORPORATION,,USA
001627,01,19900930,1990,ANACOMP INC,,USA
001627,01,19910930,1991,ANACOMP INC,,USA
001632,01,19901031,1990,ANALOG DEVICES,,USA
001632,01,19911031,1991,ANALOG DEVICES,,USA
001633,01,19900731,1990,ANALOGIC CORP,,USA
001633,01,19910731,1991,ANALOGIC CORP,,USA
001634,01,19900630,1990,ANALYSTS INTERNATIONAL CORP,,USA
001634,01,19910630,1991,ANALYSTS INTERNATIONAL CORP,,USA
001635,01,19900630,1990,ANAREN INC,,USA
001635,01,19910630,1991,ANAREN INC,,USA
001640,01,19900930,1990,ANDAL CORP,,USA
001640,01,19910930,1991,ANDAL CORP,,USA
001641,01,19900228,1989,MOSCOW CABLECOM CORP,,USA
001641,01,19910228,1990,MOSCOW CABLECOM CORP,,USA
001642,01,19900930,1990,CROWN ANDERSEN INC,,USA
001642,01,19910930,1991,CROWN ANDERSEN INC,,USA
001650,01,19901231,1990,ANDREA ELECTRONICS CORP,,USA
001650,01,19911231,1991,ANDREA ELECTRONICS CORP,,USA
001651,01,19900930,1990,ANDREW CORP,,USA
001651,01,19910930,1991,ANDREW CORP,,USA
001652,01,19900731,1990,ANDROS INC,,USA
001652,01,19910731,1991,ANDROS INC,,USA
001654,01,19900630,1990,ANGELES CORP,,USA
001654,01,19910630,1991,ANGELES CORP,,USA
001655,01,19900131,1989,ANGELICA CORP,,USA
001655,01,19910131,1990,ANGELICA CORP,,USA
001661,01,19900930,1990,NABORS INDUSTRIES LTD,,BMU
001661,01,19910930,1991,NABORS INDUSTRIES LTD,,BMU
001663,01,19901231,1990,ANHEUSER-BUSCH COS INC,,USA
001663,01,19911231,1991,ANHEUSER-BUSCH COS INC,,USA
001667,01,19900331,1989,ANNANDALE CORP,,USA
001667,01,19910331,1990,ANNANDALE CORP,,USA
001675,01,19901231,1990,ANTHEM ELECTRONICS INC,,USA
001675,01,19911231,1991,ANTHEM ELECTRONICS INC,,USA
001677,01,19901231,1990,K2 INC,,USA
001677,01,19911231,1991,K2 INC,,USA
001678,01,19901231,1990,APACHE CORP,,USA
001678,01,19911231,1991,APACHE CORP,,USA
001682,01,19901231,1990,APCO OIL AND GAS INTL INC,,CYM
001682,01,19911231,1991,APCO OIL AND GAS INTL INC,,CYM
001686,01,19900228,1989,APOGEE ENTERPRISES INC,,USA
001686,01,19910228,1990,APOGEE ENTERPRISES INC,,USA
001690,01,19900930,1990,APPLE INC,,USA
001690,01,19910930,1991,APPLE INC,,USA
001693,01,19900630,1990,APPLIED BIOSYSTEMS INC -OLD,,USA
001693,01,19910630,1991,APPLIED BIOSYSTEMS INC -OLD,,USA
001703,01,19900930,1990,APPLIED MAGNETICS CORP,,USA
001703,01,19910930,1991,APPLIED MAGNETICS CORP,,USA
001704,01,19901031,1990,APPLIED MATERIALS INC,,USA
001704,01,19911031,1991,APPLIED MATERIALS INC,,USA
001706,01,19900831,1990,ENERPAC TOOL GROUP CORP,,USA
001706,01,19910831,1991,ENERPAC TOOL GROUP CORP,,USA
001707,01,19901031,1990,APPLIED SOLAR ENERGY CORP,,USA
001707,01,19911031,1991,APPLIED SOLAR ENERGY CORP,,USA
001712,01,19901231,1990,TRECORA RESOURCES,,USA
001712,01,19911231,1991,TRECORA RESOURCES,,USA
001718,01,19900630,1990,ADVANCED OXYGEN TECHNOLOGY,,USA
001718,01,19910630,1991,ADVANCED OXYGEN TECHNOLOGY,,USA
001721,01,19901031,1990,ARCH PETROLEUM INC,,USA
001721,01,19911031,1991,ARCH PETROLEUM INC,,USA
001722,01,19900630,1990,ARCHER-DANIELS-MIDLAND CO,,USA
001722,01,19910630,1991,ARCHER-DANIELS-MIDLAND CO,,USA
001724,01,19900930,1990,ARCHIVE CORP,,USA
001724,01,19910930,1991,ARCHIVE CORP,,USA
001728,01,19901231,1990,ARDEN GROUP INC  -CL A,,USA
001728,01,19911231,1991,ARDEN GROUP INC  -CL A,,USA
001729,01,19901231,1990,ARDEN INTL KITCHEN INC,,USA
001729,01,19911231,1991,ARDEN INTL KITCHEN INC,,USA
001739,01,19901231,1990,HOMEFREE VILLAGE RESORTS,,USA
001739,01,19911231,1991,HOMEFREE VILLAGE RESORTS,,USA
001746,01,19901231,1990,NORAM ENERGY CORP,,USA
001746,01,19911231,1991,NORAM ENERGY CORP,,USA
001754,01,19900930,1990,ARMATRON INTERNATIONAL INC,,USA
001754,01,19910930,1991,ARMATRON INTERNATIONAL INC,,USA
001755,01,19901231,1990,ARMCO INC,,USA
001755,01,19911231,1991,ARMCO INC,,USA
001762,01,19901231,1990,ARMSTRONG HOLDINGS INC,,USA
001762,01,19911231,1991,ARMSTRONG HOLDINGS INC,,USA
001766,01,19901231,1990,ARNOLD INDUSTRIES INC,,USA
001766,01,19911231,1991,ARNOLD INDUSTRIES INC,,USA
001772,01,19900630,1990,ARROW AUTOMOTIVE INDUSTRIES,,USA
001772,01,19910630,1991,ARROW AUTOMOTIVE INDUSTRIES,,USA
001773,01,19901231,1990,ARROW ELECTRONICS INC,,USA
001773,01,19911231,1991,ARROW ELECTRONICS INC,,USA
001779,01,19901231,1990,ARTEL COMMUNICATIONS CORP,,USA
001779,01,19911231,1991,ARTEL COMMUNICATIONS CORP,,USA
001780,01,19901231,1990,ARTISTIC GREETINGS INC,,USA
001780,01,19911231,1991,ARTISTIC GREETINGS INC,,USA
001781,01,19901231,1990,ENTRADE INC,,USA
001781,01,19911231,1991,ENTRADE INC,,USA
001783,01,19900531,1989,ARTS WAY MFG INC,,USA
001783,01,19910531,1990,ARTS WAY MFG INC,,USA
001786,01,19901231,1990,ARVIN INDUSTRIES INC,,USA
001786,01,19911231,1991,ARVIN INDUSTRIES INC,,USA
001789,01,19901231,1990,ASARCO INC,,USA
001789,01,19911231,1991,ASARCO INC,,USA
001794,01,19900930,1990,ASHLAND GLOBAL HOLDINGS INC,,USA
001794,01,19910930,1991,ASHLAND GLOBAL HOLDINGS INC,,USA
001795,01,19901231,1990,ASHTON-TATE CO,,USA
001797,01,19900630,1990,ASPEN EXPLORATION CORP -OLD,,USA
001797,01,19910630,1991,ASPEN EXPLORATION CORP -OLD,,USA
001798,01,19900630,1990,ASPEN IMAGING INTL INC,,USA
001798,01,19910630,1991,ASPEN IMAGING INTL INC,,USA
001802,01,19901231,1990,ASSOCIATED COMMUN  -CL A,,USA
001802,01,19911231,1991,ASSOCIATED COMMUN  -CL A,,USA
001819,01,19900331,1989,ASTREX INC,,USA
001819,01,19910331,1990,ASTREX INC,,USA
001820,01,19900131,1989,ASTRONOVA INC,,USA
001820,01,19910131,1990,ASTRONOVA INC,,USA
001822,01,19901231,1990,ASTROCOM CORP,,USA
001822,01,19911231,1991,ASTROCOM CORP,,USA
001823,01,19901231,1990,ASTRONICS CORP,,USA
001823,01,19911231,1991,ASTRONICS CORP,,USA
001824,01,19900630,1990,ASTROSYSTEMS INC,,USA
001824,01,19910630,1991,ASTROSYSTEMS INC,,USA
001832,01,19901231,1990,ATHEY PRODUCTS CORP,,USA
001832,01,19911231,1991,ATHEY PRODUCTS CORP,,USA
001833,01,19901231,1990,ATHLONE INDS,,USA
001833,01,19911231,1991,ATHLONE INDS,,USA
001835,01,19901231,1990,ATKINSON (G F) CO/CA,,USA
001835,01,19911231,1991,ATKINSON (G F) CO/CA,,USA
001837,01,19900930,1990,SOUTHERN CO GAS,,USA
001837,01,19910930,1991,SOUTHERN CO GAS,,USA
001843,01,19901231,1990,ATLANTIC ENERGY INC,,USA
001843,01,19911231,1991,ATLANTIC ENERGY INC,,USA
001848,01,19901231,1990,ATLANTIC RICHFIELD CO,,USA
001848,01,19911231,1991,ATLANTIC RICHFIELD CO,,USA
001849,01,19901231,1990,ASA HOLDINGS INC,,USA
001849,01,19911231,1991,ASA HOLDINGS INC,,USA
001855,01,19901231,1990,ATLAS CONS MINING & DEV CORP,,PHL
001855,01,19911231,1991,ATLAS CONS MINING & DEV CORP,,PHL
001856,01,19900630,1990,ATLAS MINERALS INC,,USA
001856,01,19910630,1991,ATLAS MINERALS INC,,USA
001860,01,19900930,1990,ATWOOD OCEANICS,,USA
001860,01,19910930,1991,ATWOOD OCEANICS,,USA
001864,01,19900131,1989,REX AMERICAN RESOURCES CORP,,USA
001864,01,19910131,1990,REX AMERICAN RESOURCES CORP,,USA
