q_Imp_sw,q_Imp_aw,qAdj_Imp_sw,qAdj_Imp_aw,xv_sw,xv_aw,xvAdj_sw,xvAdj_aw,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt,datadate,fyear,tic,conm,adrr,pddur,upd,at,capx,ceq,csho,gdwl,oiadp,sale,cik,fic,sich,prcc_f,datadate_int,dyear,dmonth,dday,saleSUM,iaSUM,nseg,MS,SIC_4dig,SIC_3dig,SIC_2dig,SIC_1dig,gdwl_orig,capx_orig,at_MV,atAdj,atAdj_MV,q_Obs,qAdj_Obs,log_at,log_atAdj,ebit2sale,capx2sale,dyear_fac
NA,NA,NA,NA,NA,NA,NA,NA,1864,P,1,LU,68830,7135,19840717,E,2017-01-31,2016,REX,REX AMERICAN RESOURCES CORP,NA,12,3,454.024,14.208,340.435,6.561,0,49.651,453.799,744187,USA,2860,83.03,20170131,2017,1,31,453.799,454.024,1,0,2860,286,28,2,0,14.208,658.3488299999999,454.024,658.3488299999999,1.4500309014501434,1.4500309014501434,6.118150060080249,6.118150060080249,0.10941187618306784,0.03130901566552593,2017
NA,NA,NA,NA,NA,NA,NA,NA,1878,P,1,LU,85631,7623,19850731,E,2017-01-31,2016,ADSK,AUTODESK INC,NA,12,3,4798.1,76,733.6,220.3,1561.1,-419.1,2031,769397,USA,7370,81.34,20170131,2017,1,31,2031,4798.1,1,0,7370,737,73,7,1561.1,76,21983.702,3237.0000000000005,20422.602000000003,4.581751526645964,6.309113994439295,8.475975285199956,8.082402253926244,-0.20635155096011817,0.03741999015263417,2017
NA,NA,NA,NA,NA,NA,NA,NA,1878,P,1,LU,85631,7623,19850731,E,2018-01-31,2017,ADSK,AUTODESK INC,NA,12,3,4113.6,50.7,-256,218.3,1620.2,-393.6,2056.6,769397,USA,7370,115.62,20180131,2018,1,31,2056.6,4113.6,1,0,7370,737,73,7,1620.2,50.7,29609.446000000004,2493.4000000000005,27989.246000000003,7.197940003889538,11.225333279858827,8.322053836511625,7.821402519910875,-0.19138383740153653,0.02465233881163085,2018
2.1090090407865625,2.2111966487253047,2.6542245434430574,2.787627665423636,0.004894638075244565,-0.04242101267181718,-0.19942393212635576,-0.24846232911972704,1891,P,1,LC,44644,20235,19670626,E,2017-06-30,2017,ADP,AUTOMATIC DATA PROCESSING,NA,12,3,37180,240.2,3977,445,1741,2405.9,12379.8,8670,USA,7374,102.46,20170630,2017,6,30,12372,38886.9,3,1,7374,737,73,7,1741,240.2,78797.7,35439,77056.7,2.1193571812802583,2.1743474703010808,10.523526261275435,10.475568187616629,0.1943407809496115,0.01940257516276515,2017
2.0191269566941386,2.0848711014378734,2.4908170454121272,2.5419454527337533,0.21112007361129853,0.17907826045547717,0.03901566372935259,0.018696736938732108,1891,P,1,LC,44644,20235,19670626,E,2018-06-30,2018,ADP,AUTOMATIC DATA PROCESSING,NA,12,3,37088.7,206.1,3459.6,438.8,2243.5,2625.1,13325.8,8670,USA,7374,134.14,20180630,2018,6,30,13327.699999999999,38849.1,3,1,7374,737,73,7,2243.5,206.1,92489.73199999999,34845.2,90246.23199999999,2.4937442401594017,2.58991861145868,10.521067619990701,10.458670673560553,0.1969938014978463,0.015466238424709962,2018
3.1032123443901334,3.1032123443901334,3.310683101619607,3.310683101619607,-0.7594597310963271,-0.7594597310963271,-0.8159396150875419,-0.8159396150875419,1920,P,1,LU,40416,20240,19640420,20200131,2017-12-31,2017,AVP,AVON PRODUCTS,NA,12,3,3697.9,97.3,-725,440.3,95.7,352.3,5715.6,8868,USA,2844,2.15,20171231,2017,12,31,5715.6,3697.9,1,0,2844,284,28,2,95.7,97.3,5369.545,3602.2000000000003,5273.845000000001,1.4520525162930311,1.46406223974238,8.215520369937307,8.189300048902957,0.061638323185667296,0.01702358457554762,2017
2.7723680038294995,2.7723680038294995,2.9285460621952093,2.9285460621952093,-0.5984270296258513,-0.5984270296258513,-0.6430027591335621,-0.6430027591335621,1920,P,1,LU,40416,20240,19640420,20200131,2018-12-31,2018,AVP,AVON PRODUCTS,NA,12,3,3010,94.9,-904.5,442.4,87.4,246.6,5402.9,8868,USA,2844,1.52,20181231,2018,12,31,5402.9,3010,1,0,2844,284,28,2,87.4,94.9,4586.948,2922.6,4499.548,1.5239029900332226,1.5395702456716622,8.009695357742922,7.980228910040552,0.04564215513890688,0.017564641211201396,2018
1.9874578786561328,1.9874578786561328,2.1197917561885715,2.1197917561885715,0.6598992262296869,0.6598992262296869,0.7385263338812823,0.7385263338812823,1968,C,1,LU,53110,20250,19710831,E,2017-12-31,2017,BMI,BADGER METER INC,NA,12,3,391.727,15.069,277.452,29.119,67.424,55.622,402.44,9092,USA,3824,47.8,20171231,2017,12,31,402.44,391.727,1,0,3824,382,38,3,67.424,15.069,1506.1632,324.303,1438.7392,3.844930780875457,4.436404226911253,5.970565168600006,5.781678263964287,0.13821190736507305,0.03744409104462777,2017
1.9650221141423585,1.9650221141423585,2.0104172310659907,2.0104172310659907,0.6793420276888774,0.6793420276888774,0.8087913820348984,0.8087913820348984,1968,C,1,LU,53110,20250,19710831,E,2018-12-31,2018,BMI,BADGER METER INC,NA,12,3,392.691,8.643,303.503,29.119,71.258,59.444,433.732,9092,USA,3824,49.21,20181231,2018,12,31,433.732,392.691,1,0,3824,382,38,3,71.258,8.643,1522.1339899999998,321.433,1450.87599,3.8761621478465256,4.513774223555142,5.973023043063124,5.772789123826017,0.13705237335497497,0.019927051727795044,2018
3.2920940132255634,3.2920940132255634,3.5911340762857744,3.5911340762857744,-0.2703226604056221,-0.2703226604056221,-0.23227972287702894,-0.23227972287702894,2086,P,1,LC,27887,20277,19620131,E,2017-12-31,2017,BAX,BAXTER INTERNATIONAL INC,NA,12,3,17111,634,9124,541.477,3099,1532,10561,10456,USA,2834,64.64,20171231,2017,12,31,10561,17111,1,0,2834,283,28,2,3099,634,42988.07328,14012,39889.07328,2.512306310560458,2.8467794233514128,9.747476810531971,9.547669384317377,0.14506202064198467,0.06003219392103021,2017
2.5147589237515273,2.5147589237515273,2.5147589237515273,2.5147589237515273,0.05633025087862119,0.05633025087862119,0.19222617652945628,0.19222617652945628,2086,P,1,LC,27887,20277,19620131,E,2018-12-31,2018,BAX,BAXTER INTERNATIONAL INC,NA,12,3,15641,681,7794,512.999,2958,1767,11127,10456,USA,2834,65.82,20181231,2018,12,31,11127,15641,1,0,2834,283,28,2,2958,681,41612.59418,12683,38654.59418,2.6604816942650724,3.0477484964125208,9.657650950674242,9.448017793067429,0.15880291183607442,0.061202480452952276,2018
NA,NA,NA,NA,NA,NA,NA,NA,2269,P,1,LU,49373,20309,19691013,E,2017-04-30,2016,HRB,BLOCK H & R INC,NA,12,3,2694.108,89.255,-60.883,207.171,491.207,715.984,3036.314,12659,USA,7200,24.79,20170430,2017,4,30,3036.314,2694.108,1,0,7200,720,72,7,491.207,89.255,7890.76009,2202.9010000000003,7399.553089999999,2.9288952373104564,3.35900391801538,7.898822445253623,7.697530407072642,0.2358069685809834,0.029395839824207903,2017
NA,NA,NA,NA,NA,NA,NA,NA,2269,P,1,LU,49373,20309,19691013,E,2018-04-30,2017,HRB,BLOCK H & R INC,NA,12,3,3140.949,98.583,393.711,209.254,507.871,752.05,3159.931,12659,USA,7200,27.65,20180430,2018,4,30,3159.931,3140.949,1,0,7200,720,72,7,507.871,98.583,8533.1111,2633.078,8025.2401,2.7167302302584346,3.047855057844849,8.052280262539588,7.875908783060566,0.2379957030707316,0.031197833117242117,2018
2.542204608596176,2.542204608596176,2.542204608596176,2.542204608596176,0.2309537033902182,0.2309537033902182,0.26196511541194606,0.26196511541194606,2282,P,1,LC,18570,595,19721214,20180111,2017-04-30,2016,BOBE,BOB EVANS FARMS,NA,12,3,449.244,65.768,331.648,19.796,19.673,47.472,394.842,33769,USA,2013,66.74,20170430,2017,4,30,394.842,449.244,1,0,2013,201,20,2,19.673,65.768,1438.7810399999998,429.571,1419.1080399999998,3.2026716884365727,3.3035471202664977,6.107566169981827,6.0627870362606195,0.12023037062926437,0.16656789297997682,2017
